FECHA CONEXI�N;AREA;NOMBRE ZONA;COMUNA;MODEL;N�MERO CONEXIONES;USAGE (kB);PORCENTAJE USO
1-ene-24;URBANA;001_ZW Parque Ingenio;17;MR76;42;3709424;424,40%
1-ene-24;URBANA;001_ZW Parque Ingenio;17;MR76;49;2550212;291,70%
1-ene-24;URBANA;002_ZW Canchas Panamericanas;19;MR76;8;1419251;162,40%
1-ene-24;URBANA;003_ZW Parque del Perro;19;MR76;31;558191;63,90%
1-ene-24;URBANA;003_ZW Parque del Perro;19;MR76;26;279273;31,90%
1-ene-24;URBANA;005_ZW Parque Barrio Obrero;9;MR76;131;1791964;205,00%
1-ene-24;URBANA;005_ZW Parque Barrio Obrero;9;MR76;99;631069;72,20%
1-ene-24;URBANA;006_ZW Parque Vallado;15;MR76;110;38318;4,40%
1-ene-24;URBANA;008_ZW Parque Alfonso Lopez;7;MR76;37;4416112;505,20%
1-ene-24;URBANA;010_ZW Parque Antonio Nari�o;16;MR76;31;5614;0,60%
1-ene-24;URBANA;011_ZW Parque Santa Rosa Poblado;13;MR76;35;1077463;123,30%
1-ene-24;URBANA;011_ZW Parque Santa Rosa Poblado;13;MR76;33;2206986;252,50%
1-ene-24;URBANA;012_ZW Polideportivo Los Naranjos;14;MR76;22;2037;0,20%
1-ene-24;URBANA;013_ZW Parque Llano Verde;15;MR76;24;1684;0,20%
1-ene-24;URBANA;014_ZW Centro Cultural Alto Jordan;18;MR76;21;5626077;643,60%
1-ene-24;URBANA;015_ZW Centro Cultural Comuna 13;13;MR76;19;24708;2,80%
1-ene-24;URBANA;016_ZW Conjunto Habitacional Ramali;6;MR76;23;21054;2,40%
1-ene-24;URBANA;017_ZW Conjunto Habitacional Rio Cauca;15;MR76;25;414658;47,40%
1-ene-24;URBANA;018_ZW Parque Las Banderas;19;MR76;29;711672;81,40%
1-ene-24;URBANA;018_ZW Parque Las Banderas;19;MR76;9;24134;2,80%
1-ene-24;URBANA;019_ZW Parque Skate Board;15;MR76;65;26649;3,00%
1-ene-24;URBANA;020_ZW Parque Petecuy1;6;MR76;9;4314919;493,60%
1-ene-24;URBANA;021_ZW Parque Alfonso Barberena;12;MR76;74;16740;1,90%
1-ene-24;URBANA;021_ZW Parque Alfonso Barberena;12;MR76;81;7683;0,90%
1-ene-24;URBANA;022_ZW Polideportivo Los Farallones;18;MR76;1;61916;7,10%
