NOMBRE ZONA;DIRECCION;BARRIO;COMUNA;CODIGO;CORREO ELECTR�NICO;LATITUD;LONGITUD;PROVEEDOR CONECTIVIDAD;VELOCIDAD;HORARIOS
001_ZW Parque Ingenio;Calle 16 con Carrera 83;El Ingenio;17;760032000;wifi@cali.gov.co;3,38625;-76,52961;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
002_ZW Canchas Panamericanas;Carrera 34 con Calle 9;Eucaristico;19;760042388;wifi@cali.gov.co;3,42416;-76,53801;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
003_ZW Parque del Perro;Carrera 34 con Calle 3;San Fernando;19;760043000;wifi@cali.gov.co;3,43592;-76,54555;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
004_ZW Parque San Nicolas;Carrera 6 con Calle 19;San Nicolas;3;760044409;wifi@cali.gov.co;3,45369;-76,52574;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
005_ZW Parque Barrio Obrero;Carrera 10 con Calle 22A;Obrero;9;760044465;wifi@cali.gov.co;3,44941;-76,52065;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
006_ZW Parque Vallado;Carrera 41B con Calle 50;El Vallado;15;760025000;wifi@cali.gov.co;3,4069;-76,50234;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
007_ZW Parque Pizamos;Calle 121 con Carrera 28 D7;Pizamos II;21;760021603;wifi@cali.gov.co;3,40789;-76,47381;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
008_ZW Parque Alfonso Lopez;Calle 72A con Carrera 7DBis;Alfonso Lopez;7;760012054;wifi@cali.gov.co;3,46258;-76,48133;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
009_ZW Polideportivo Los Almendros;Carrera 2 con Calle 62;Paseo Los Almendros;5;760004510;wifi@cali.gov.co;3,47067;-76,49293;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
010_ZW Parque Antonio Nari�o;Carrera 40 con Calle 39;Antonio Narino;16;760022498;wifi@cali.gov.co;3,41577;-76,50848;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
011_ZW Parque Santa Rosa Poblado;Carrera 28 B con Calle 72 Y;Poblado II;13;766015252;wifi@cali.gov.co;3,42244;-76,48789;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
012_ZW Polideportivo Los Naranjos;Calle 77 con Carrera 26 G3;Los Naranjos;14;760016500;wifi@cali.gov.co;3,4329;-76,48069;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
013_ZW Parque Llano Verde;Carrera 46 con Calle 55A;Morichal de Comfandi;15;760025999;wifi@cali.gov.co;3,39598;-76,50628;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
014_ZW Centro Cultural Alto Jordan;Calle 1B Oeste con Carrera 93;Alto Jordan;18;760034168;wifi@cali.gov.co;3,37744;-76,55475;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
015_ZW Centro Cultural Comuna 13;Calle 71 A con Carrera 28D;El Pondaje;13;760015133;wifi@cali.gov.co;3,42853;-76,49725;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
016_ZW Conjunto Habitacional Ramali;Carrera 1 A3 con Calle 85;Calimio Norte;6;760006314;wifi@cali.gov.co;3,48939;-76,48417;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
017_ZW Conjunto Habitacional Rio Cauca;Carrera 23 con Calle 76;Valle Grande;15;760021000;wifi@cali.gov.co;3,44044;-76,47679;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
018_ZW Parque Las Banderas;Carrera 36 con Calle 5;Panamericano;19;760042334;wifi@cali.gov.co;3,43181;-76,54225;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
019_ZW Parque Skate Board;Calle 51 con Carrera 42 D2;Ciudad Cordoba;15;760025144;wifi@cali.gov.co;3,40211;-76,50741;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
020_ZW Parque Petecuy1;Carrera 2E con Calle 73 A;Petecuy I;6;760006511;wifi@cali.gov.co;3,47215;-76,4806;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
021_ZW Parque Alfonso Barberena;Carrera 25 con Transversal 30;Alfonso Barberena;12;760014020;wifi@cali.gov.co;3,434;-76,50962;EMCALI;30 MB. Canal dedicado;24 horas. 7 dias a la semana.
